,xrefs_inchikey,associated_pathways_kegg_map_id,associated_pathways_name,associated_pathways_type,associated_pathways_smpdb_id
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,arginine: glycine amidinotransferase deficiency (agat deficiency),biolink:Pathway,SMP00362
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,argininemia,biolink:Pathway,SMP00357
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,argininosuccinic aciduria,biolink:Pathway,SMP00003
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00250,aspartate metabolism,biolink:Pathway,SMP00067
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00410,beta-alanine metabolism,biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,beta-ketothiolase deficiency,biolink:Pathway,SMP00173
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,beta-mercaptolactate-cysteine disulfiduria,biolink:Pathway,SMP00499
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,canavan disease,biolink:Pathway,SMP00175
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,carbamoyl phosphate synthetase deficiency,biolink:Pathway,SMP00002
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,carnitine synthesis,biolink:Pathway,SMP00465
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"carnosinuria, carnosinemia",biolink:Pathway,SMP00493
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00020,citric acid cycle,biolink:Pathway,SMP00057
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,citrullinemia type i,biolink:Pathway,SMP00001
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,congenital lactic acidosis,biolink:Pathway,SMP00546
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"creatine deficiency, guanidinoacetate methyltransferase deficiency",biolink:Pathway,SMP00504
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00270,cysteine metabolism,biolink:Pathway,SMP00013
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"cystinosis, ocular nonnephropathic",biolink:Pathway,SMP00722
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,dihydropyrimidine dehydrogenase deficiency (dhpd),biolink:Pathway,SMP00179
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,dimethylglycine dehydrogenase deficiency,biolink:Pathway,SMP00242
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,dimethylglycine dehydrogenase deficiency,biolink:Pathway,SMP00484
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"fructose-1,6-diphosphatase deficiency",biolink:Pathway,SMP00562
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,fumarase deficiency,biolink:Pathway,SMP00547
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,gaba-transaminase deficiency,biolink:Pathway,SMP00351
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,glucose-alanine cycle,biolink:Pathway,SMP00127
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00250,glutamate metabolism,biolink:Pathway,SMP00072
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,glutaminolysis and cancer,biolink:Pathway,SMP02298
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,glutaric aciduria type i,biolink:Pathway,SMP00186
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00260,"glycine, serine and threonine metabolism",biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,glycogen storage disease type 1a (gsd1a) or von gierke disease,biolink:Pathway,SMP00374
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"glycogenosis, type ia. von gierke disease",biolink:Pathway,SMP00581
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"glycogenosis, type ib",biolink:Pathway,SMP00573
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"glycogenosis, type ic",biolink:Pathway,SMP00574
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00010,glycolysis / gluconeogenesis,biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,guanidinoacetate methyltransferase deficiency (gamt deficiency),biolink:Pathway,SMP00188
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,homocarnosinosis,biolink:Pathway,SMP00385
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"hyperglycinemia, non-ketotic",biolink:Pathway,SMP00485
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hyperinsulinism-hyperammonemia syndrome,biolink:Pathway,SMP00339
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"hyperlysinemia i, familial",biolink:Pathway,SMP00527
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hyperlysinemia ii or saccharopinuria,biolink:Pathway,SMP00528
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hyperornithinemia with gyrate atrophy (hoga),biolink:Pathway,SMP00505
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hyperornithinemia-hyperammonemia-homocitrullinuria [hhh-syndrome],biolink:Pathway,SMP00506
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hyperprolinemia type i,biolink:Pathway,SMP00361
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hyperprolinemia type ii,biolink:Pathway,SMP00360
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,hypoacetylaspartia,biolink:Pathway,SMP00192
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,isobutyryl-coa dehydrogenase deficiency,biolink:Pathway,SMP00523
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,isovaleric acidemia,biolink:Pathway,SMP00524
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,isovaleric aciduria,biolink:Pathway,SMP00238
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,l-arginine:glycine amidinotransferase deficiency,biolink:Pathway,SMP00507
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,lactic acidemia,biolink:Pathway,SMP00313
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00310,lysine degradation,biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,malate-aspartate shuttle,biolink:Pathway,SMP00129
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,malonic aciduria,biolink:Pathway,SMP00198
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,malonyl-coa decarboxylase deficiency,biolink:Pathway,SMP00502
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,maple syrup urine disease,biolink:Pathway,SMP00199
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,methylmalonate semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00384
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,methylmalonic aciduria,biolink:Pathway,SMP00200
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,methylmalonic aciduria due to cobalamin-related disorders,biolink:Pathway,SMP00201
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,mitochondrial complex ii deficiency,biolink:Pathway,SMP00548
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00910,nitrogen metabolism,biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,non ketotic hyperglycinemia,biolink:Pathway,SMP00223
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,ornithine aminotransferase deficiency (oat deficiency),biolink:Pathway,SMP00363
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,ornithine transcarbamylase deficiency (otc deficiency),biolink:Pathway,SMP00205
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,oxidation of branched chain fatty acids,biolink:Pathway,SMP00030
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00360,phenylalanine and tyrosine metabolism,biolink:Pathway,SMP00008
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,phenylketonuria,biolink:Pathway,SMP00206
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,phosphoenolpyruvate carboxykinase deficiency 1 (pepck1),biolink:Pathway,SMP00560
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,phytanic acid peroxisomal oxidation,biolink:Pathway,SMP00450
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,primary hyperoxaluria type i,biolink:Pathway,SMP00352
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,prolidase deficiency (pd),biolink:Pathway,SMP00207
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,prolinemia type ii,biolink:Pathway,SMP00208
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00640,propanoate metabolism,biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,propionic acidemia,biolink:Pathway,SMP00236
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,pyridoxine dependency with seizures,biolink:Pathway,SMP00571
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,pyruvate carboxylase deficiency,biolink:Pathway,SMP00350
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,pyruvate dehydrogenase deficiency (e2),biolink:Pathway,SMP00551
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,pyruvate dehydrogenase deficiency (e3),biolink:Pathway,SMP00550
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,refsum disease,biolink:Pathway,SMP00451
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,saccharopinuria/hyperlysinemia ii,biolink:Pathway,SMP00239
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,sarcosinemia,biolink:Pathway,SMP00244
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00567
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,the oncogenic action of 2-hydroxyglutarate,biolink:Pathway,SMP02291
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,the oncogenic action of d-2-hydroxyglutarate in  hydroxygluaricaciduria ,biolink:Pathway,SMP02359
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,the oncogenic action of fumarate,biolink:Pathway,SMP02295
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,the oncogenic action of l-2-hydroxyglutarate in  hydroxygluaricaciduria,biolink:Pathway,SMP02358
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,the oncogenic action of succinate,biolink:Pathway,SMP02292
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,triosephosphate isomerase,biolink:Pathway,SMP00563
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00380,tryptophan metabolism,biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00350,tyrosine metabolism,biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,tyrosinemia type 2 (or richner-hanhart syndrome),biolink:Pathway,SMP00369
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,tyrosinemia type 3 (tyro3),biolink:Pathway,SMP00370
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00330,urea cycle,biolink:Pathway,SMP00059
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,ureidopropionase deficiency,biolink:Pathway,SMP00492
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,map00280,"valine, leucine and isoleucine degradation",biolink:Pathway,
19,KPGXRSRHYNQIFN-UHFFFAOYSA-N,,warburg effect,biolink:Pathway,SMP00654
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,3-methylthiofentanyl action pathway,biolink:Pathway,SMP00679
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,alfentanil action pathway,biolink:Pathway,SMP00413
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,alkaptonuria,biolink:Pathway,SMP00169
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,alvimopan action pathway,biolink:Pathway,SMP00685
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,anileridine action pathway,biolink:Pathway,SMP00674
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,aromatic l-aminoacid decarboxylase deficiency,biolink:Pathway,SMP00170
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,benzocaine action pathway,biolink:Pathway,SMP00392
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,bupivacaine action pathway,biolink:Pathway,SMP00393
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,buprenorphine action pathway,biolink:Pathway,SMP00684
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,carfentanil action pathway,biolink:Pathway,SMP00414
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,chloroprocaine action pathway,biolink:Pathway,SMP00394
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,citalopram action pathway,biolink:Pathway,SMP00424
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,cocaine action pathway,biolink:Pathway,SMP00395
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,codeine action pathway,biolink:Pathway,SMP00405
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,desipramine action pathway,biolink:Pathway,SMP00423
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,dezocine action pathway,biolink:Pathway,SMP00676
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,dibucaine action pathway,biolink:Pathway,SMP00396
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,dihydromorphine action pathway,biolink:Pathway,SMP00689
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,dimethylthiambutene action pathway,biolink:Pathway,SMP00680
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,diphenoxylate action pathway,biolink:Pathway,SMP00675
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,disulfiram action pathway,biolink:Pathway,SMP00429
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,dopamine beta-hydroxylase deficiency,biolink:Pathway,SMP00498
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,escitalopram action pathway,biolink:Pathway,SMP00425
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,ethylmorphine action pathway,biolink:Pathway,SMP00681
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,fentanyl action pathway,biolink:Pathway,SMP00415
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,fluoxetine action pathway,biolink:Pathway,SMP00426
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,hawkinsinuria,biolink:Pathway,SMP00190
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,heroin action pathway,biolink:Pathway,SMP00407
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,hydrocodone action pathway,biolink:Pathway,SMP00411
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,hydromorphone action pathway,biolink:Pathway,SMP00410
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,imipramine action pathway,biolink:Pathway,SMP00422
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,ketobemidone  action pathway,biolink:Pathway,SMP00690
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,levallorphan action pathway,biolink:Pathway,SMP00683
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,levobupivacaine action pathway,biolink:Pathway,SMP00397
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,levomethadyl acetate action action pathway,biolink:Pathway,SMP00677
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,levorphanol action pathway,biolink:Pathway,SMP00673
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,lidocaine (local anaesthetic) action pathway,biolink:Pathway,SMP00398
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,mepivacaine action pathway,biolink:Pathway,SMP00399
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,methadone action pathway,biolink:Pathway,SMP00408
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,methadyl acetate action pathway,biolink:Pathway,SMP00678
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,monoamine oxidase-a deficiency (mao-a),biolink:Pathway,SMP00533
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,morphine action pathway,biolink:Pathway,SMP00406
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,nalbuphine action pathway,biolink:Pathway,SMP00691
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,naloxone action pathway,biolink:Pathway,SMP00688
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,naltrexone action pathway,biolink:Pathway,SMP00687
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,nicotine action pathway,biolink:Pathway,SMP00431
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,oxybuprocaine action pathway,biolink:Pathway,SMP00400
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,oxycodone action pathway,biolink:Pathway,SMP00409
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,oxymorphone action pathway,biolink:Pathway,SMP00412
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,pentazocine action pathway,biolink:Pathway,SMP00686
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,prilocaine action pathway,biolink:Pathway,SMP00401
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,procaine action pathway,biolink:Pathway,SMP00402
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,proparacaine action pathway,biolink:Pathway,SMP00403
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,propoxyphene action pathway,biolink:Pathway,SMP00672
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,remifentanil action pathway,biolink:Pathway,SMP00416
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,ropivacaine action pathway,biolink:Pathway,SMP00404
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,sufentanil action pathway,biolink:Pathway,SMP00417
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,tramadol action action pathway,biolink:Pathway,SMP00671
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,tyrosine hydroxylase deficiency,biolink:Pathway,SMP00497
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,map00350,tyrosine metabolism,biolink:Pathway,
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,map00350,tyrosine metabolism,biolink:Pathway,
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,tyrosinemia type i,biolink:Pathway,SMP00218
20,SFLSHLFXELFNJZ-QMMMGPOBSA-N,,"tyrosinemia, transient, of the newborn",biolink:Pathway,SMP00494
21,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,,sulfite oxidase deficiency,biolink:Pathway,SMP00532
21,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,map00920,sulfur metabolism,biolink:Pathway,
22,XBDQKXXYIPTUBI-UHFFFAOYSA-N,,malonic aciduria,biolink:Pathway,SMP00198
22,XBDQKXXYIPTUBI-UHFFFAOYSA-N,,malonyl-coa decarboxylase deficiency,biolink:Pathway,SMP00502
22,XBDQKXXYIPTUBI-UHFFFAOYSA-N,,methylmalonic aciduria due to cobalamin-related disorders,biolink:Pathway,SMP00201
22,XBDQKXXYIPTUBI-UHFFFAOYSA-N,map00640,propanoate metabolism,biolink:Pathway,
22,XBDQKXXYIPTUBI-UHFFFAOYSA-N,,vitamin k metabolism,biolink:Pathway,SMP00464
23,LCTONWCANYUPML-UHFFFAOYSA-N,,2-hydroxyglutric aciduria (d and l form),biolink:Pathway,SMP00136
23,LCTONWCANYUPML-UHFFFAOYSA-N,,2-ketoglutarate dehydrogenase complex deficiency,biolink:Pathway,SMP00549
23,LCTONWCANYUPML-UHFFFAOYSA-N,,3-phosphoglycerate dehydrogenase deficiency,biolink:Pathway,SMP00721
23,LCTONWCANYUPML-UHFFFAOYSA-N,,4-hydroxybutyric aciduria/succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00243
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00250,"alanine, aspartate and glutamate metabolism",biolink:Pathway,
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00520,amino sugar metabolism,biolink:Pathway,SMP00045
23,LCTONWCANYUPML-UHFFFAOYSA-N,,argininemia,biolink:Pathway,SMP00357
23,LCTONWCANYUPML-UHFFFAOYSA-N,,argininosuccinic aciduria,biolink:Pathway,SMP00003
23,LCTONWCANYUPML-UHFFFAOYSA-N,,beta-mercaptolactate-cysteine disulfiduria,biolink:Pathway,SMP00499
23,LCTONWCANYUPML-UHFFFAOYSA-N,,carbamoyl phosphate synthetase deficiency,biolink:Pathway,SMP00002
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00020,citric acid cycle,biolink:Pathway,SMP00057
23,LCTONWCANYUPML-UHFFFAOYSA-N,,citrullinemia type i,biolink:Pathway,SMP00001
23,LCTONWCANYUPML-UHFFFAOYSA-N,,congenital lactic acidosis,biolink:Pathway,SMP00546
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00270,cysteine metabolism,biolink:Pathway,SMP00013
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"cystinosis, ocular nonnephropathic",biolink:Pathway,SMP00722
23,LCTONWCANYUPML-UHFFFAOYSA-N,,dihydropyrimidine dehydrogenase deficiency (dhpd),biolink:Pathway,SMP00179
23,LCTONWCANYUPML-UHFFFAOYSA-N,,dimethylglycine dehydrogenase deficiency,biolink:Pathway,SMP00242
23,LCTONWCANYUPML-UHFFFAOYSA-N,,dimethylglycine dehydrogenase deficiency,biolink:Pathway,SMP00484
23,LCTONWCANYUPML-UHFFFAOYSA-N,,fanconi-bickel syndrome,biolink:Pathway,SMP00572
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"fructose-1,6-diphosphatase deficiency",biolink:Pathway,SMP00562
23,LCTONWCANYUPML-UHFFFAOYSA-N,,fumarase deficiency,biolink:Pathway,SMP00547
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"g(m2)-gangliosidosis: variant b, tay-sachs disease",biolink:Pathway,SMP00534
23,LCTONWCANYUPML-UHFFFAOYSA-N,,glucose-alanine cycle,biolink:Pathway,SMP00127
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00250,glutamate metabolism,biolink:Pathway,SMP00072
23,LCTONWCANYUPML-UHFFFAOYSA-N,,glutaminolysis and cancer,biolink:Pathway,SMP02298
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00260,"glycine, serine and threonine metabolism",biolink:Pathway,
23,LCTONWCANYUPML-UHFFFAOYSA-N,,glycogen storage disease type 1a (gsd1a) or von gierke disease,biolink:Pathway,SMP00374
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"glycogenosis, type ia. von gierke disease",biolink:Pathway,SMP00581
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"glycogenosis, type ib",biolink:Pathway,SMP00573
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"glycogenosis, type ic",biolink:Pathway,SMP00574
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"glycogenosis, type vii. tarui disease",biolink:Pathway,SMP00531
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00010,glycolysis / gluconeogenesis,biolink:Pathway,
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00010,glycolysis / gluconeogenesis,biolink:Pathway,
23,LCTONWCANYUPML-UHFFFAOYSA-N,,homocarnosinosis,biolink:Pathway,SMP00385
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"hyperglycinemia, non-ketotic",biolink:Pathway,SMP00485
23,LCTONWCANYUPML-UHFFFAOYSA-N,,hyperinsulinism-hyperammonemia syndrome,biolink:Pathway,SMP00339
23,LCTONWCANYUPML-UHFFFAOYSA-N,,lactic acidemia,biolink:Pathway,SMP00313
23,LCTONWCANYUPML-UHFFFAOYSA-N,,leigh syndrome,biolink:Pathway,SMP00196
23,LCTONWCANYUPML-UHFFFAOYSA-N,,mitochondrial complex ii deficiency,biolink:Pathway,SMP00548
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00910,nitrogen metabolism,biolink:Pathway,
23,LCTONWCANYUPML-UHFFFAOYSA-N,,non ketotic hyperglycinemia,biolink:Pathway,SMP00223
23,LCTONWCANYUPML-UHFFFAOYSA-N,,ornithine transcarbamylase deficiency (otc deficiency),biolink:Pathway,SMP00205
23,LCTONWCANYUPML-UHFFFAOYSA-N,,phosphoenolpyruvate carboxykinase deficiency 1 (pepck1),biolink:Pathway,SMP00560
23,LCTONWCANYUPML-UHFFFAOYSA-N,,"primary hyperoxaluria ii, ph2",biolink:Pathway,SMP00558
23,LCTONWCANYUPML-UHFFFAOYSA-N,,primary hyperoxaluria type i,biolink:Pathway,SMP00352
23,LCTONWCANYUPML-UHFFFAOYSA-N,,pyruvaldehyde degradation,biolink:Pathway,SMP00459
23,LCTONWCANYUPML-UHFFFAOYSA-N,,pyruvate carboxylase deficiency,biolink:Pathway,SMP00350
23,LCTONWCANYUPML-UHFFFAOYSA-N,,pyruvate decarboxylase e1 component deficiency (pdhe1 deficiency),biolink:Pathway,SMP00334
23,LCTONWCANYUPML-UHFFFAOYSA-N,,pyruvate dehydrogenase complex deficiency,biolink:Pathway,SMP00212
23,LCTONWCANYUPML-UHFFFAOYSA-N,,pyruvate dehydrogenase deficiency (e2),biolink:Pathway,SMP00551
23,LCTONWCANYUPML-UHFFFAOYSA-N,,pyruvate dehydrogenase deficiency (e3),biolink:Pathway,SMP00550
23,LCTONWCANYUPML-UHFFFAOYSA-N,,pyruvate kinase deficiency,biolink:Pathway,SMP00559
23,LCTONWCANYUPML-UHFFFAOYSA-N,map00620,pyruvate metabolism,biolink:Pathway,
23,LCTONWCANYUPML-UHFFFAOYSA-N,,salla disease/infantile sialic acid storage disease,biolink:Pathway,SMP00240
23,LCTONWCANYUPML-UHFFFAOYSA-N,,sarcosinemia,biolink:Pathway,SMP00244
23,LCTONWCANYUPML-UHFFFAOYSA-N,,sialuria or french type sialuria,biolink:Pathway,SMP00216
23,LCTONWCANYUPML-UHFFFAOYSA-N,,succinic semialdehyde dehydrogenase deficiency,biolink:Pathway,SMP00567
23,LCTONWCANYUPML-UHFFFAOYSA-N,,tay-sachs disease,biolink:Pathway,SMP00390
23,LCTONWCANYUPML-UHFFFAOYSA-N,,the oncogenic action of 2-hydroxyglutarate,biolink:Pathway,SMP02291
23,LCTONWCANYUPML-UHFFFAOYSA-N,,the oncogenic action of d-2-hydroxyglutarate in  hydroxygluaricaciduria ,biolink:Pathway,SMP02359
23,LCTONWCANYUPML-UHFFFAOYSA-N,,the oncogenic action of fumarate,biolink:Pathway,SMP02295
23,LCTONWCANYUPML-UHFFFAOYSA-N,,the oncogenic action of l-2-hydroxyglutarate in  hydroxygluaricaciduria,biolink:Pathway,SMP02358
23,LCTONWCANYUPML-UHFFFAOYSA-N,,the oncogenic action of succinate,biolink:Pathway,SMP02292
