,_id,name,chemical_formula,description,status,average_mw,monoisotopic_mw,state,sources,inchikey
59,HMDB0000849,rhamnose,C6H12O5,"Rhamnose (Rham) is a naturally occurring deoxy sugar. It can be classified as either a methyl-pentose or a 6-deoxy-hexose. Rhamnose occurs in nature in its L-form as L-rhamnose (6-deoxy-L-mannose). This is unusual, since most of the naturally occurring sugars are in D-form. Rhamnose is commonly bound to other sugars in nature. It is a common glycone component of glycosides from many plants. Rhamnose is also a component of the outer cell membrane of certain bacteria. L-rhamnose is metabolized to L-Lactaldehyde, which is a branching point in the metabolic pathway of L-fucose and L-rhamnose utilization. It exists in two anomeric forms, alpha-L-rhamnose and beta-L-rhamnose. Rhamnose has been found in Klebsiella, Pseudomonas (https://link.springer.com/article/10.1007/BF00369505) (https://onlinelibrary.wiley.com/doi/abs/10.1002/ejlt.200300816).",detected,164.1565,164.068473494,solid,['feces'],SHZGCJCMOBCMKK-JFNONXLTSA-N
60,HMDB0000863,isopropyl alcohol,C3H8O,"Isopropyl alcohol, also known as isopropanol or 1-methylethanol, belongs to the class of organic compounds known as secondary alcohols. Secondary alcohols are compounds containing a secondary alcohol functional group, with the general structure HOC(R)(R') (R,R'=alkyl, aryl). It is used in the manufacture of acetone and its derivatives and as a solvent. Isopropyl alcohol exists in all living species, ranging from bacteria to humans. Isopropyl alcohol is an alcohol, bitter, and musty tasting compound. Isopropyl alcohol has also been detected, but not quantified in several different foods, such as papaya, roselles, apples, sweet cherries, and allium (onion). Isopropyl alcohol is an isomer of 1-propanol and is considered as a potentially toxic compound. Topically, it is used as an antiseptic. It is a colorless liquid having disinfectant properties.",quantified,60.095,60.057514878,liquid,"['blood', 'breath', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",KFZMGEQAYNKOFK-UHFFFAOYSA-N
61,HMDB0000870,histamine,C5H9N3,"Histamine is an amine derived by enzymatic decarboxylation of histidine. It is a powerful stimulant of gastric secretion, a constrictor of bronchial smooth muscle, a vasodilator, and also a centrally acting neurotransmitter. Histamine can be found in Photobacterium phosphoreum and Lactobacillus (PMID:17066936). Histamine belongs to the class of organic compounds known as 2-arylethylamines. These are primary amines that have the general formula RCCNH2, where R is an organic group. High amounts of histamine have been found in spinach, oats and ryes. Another foods such as green beans, broccoli, and beetroots also contain histamine but in lower concentrations. Histamine has also been detected but not quantified in several different foods, such as groundcherries, carobs, bok choy, biscuits, and longans. ",quantified,111.1451,111.079647303,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",NTYJJOPFIAHURM-UHFFFAOYSA-N
62,HMDB0000895,acetylcholine,C7H16NO2,"Acetylcholine (ACh) is a neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. Its physiological and pharmacological effects, metabolism, release, and receptors have been well documented in several species. ACh has been considered an important excitatory neurotransmitter in the carotid body (CB). Various nicotinic and muscarinic ACh receptors are present in both afferent nerve endings and glomus cells. Therefore, ACh can depolarize or hyperpolarize the cell membrane depending on the available receptor type in the vicinity. Binding of ACh to its receptor can create a wide variety of cellular responses including opening cation channels (nicotinic ACh receptor activation), releasing Ca2+ from intracellular storage sites (via muscarinic ACh receptors), and modulating activities of K+ and Ca2+ channels. Interactions between ACh and other neurotransmitters (dopamine, adenosine, nitric oxide) have been known, and they may induce complicated responses. Cholinergic biology in the CB differs among species and even within the same species due to different genetic composition. Development and environment influence cholinergic biology. Pharmacological data clearly indicate that both muscarinic and nicotinic acetylcholine receptors have a role in the encoding of new memories. Localized lesions and antagonist infusions demonstrate the anatomical locus of these cholinergic effects, and computational modeling links the function of cholinergic modulation to specific cellular effects within these regions. Acetylcholine has been shown to increase the strength of afferent input relative to feedback, to contribute to theta rhythm oscillations, activate intrinsic mechanisms for persistent spiking, and increase the modification of synapses. These effects might enhance different types of encoding in different cortical structures. In particular, the effects in entorhinal and perirhinal cortex and hippocampus might be important for encoding new episodic memories. The role of ACh in attention has been repeatedly demonstrated in several tasks. Acetylcholine is linked to response accuracy in voluntary and reflexive attention and also to response speed in reflexive attention. It is well known that those with Attention-deficit/hyperactivity disorders tend to be inaccurate and slow to respond. (PMID:17284361, 17011181, 15556286). Acetylcholine has been found to be a microbial product, urinary acetylcholine is produced by Lactobacillus (PMID:24621061).",quantified,146.2074,146.118103761,solid,"['cerebrospinal fluid (csf)', 'saliva']",OIPILFWXSMYKGL-UHFFFAOYSA-N
63,HMDB0000896,taurodeoxycholic acid,C26H45NO6S,"Taurodeoxycholic acid is a bile salt formed in the liver by conjugation of deoxycholate with taurine, usually as the sodium salt. Bile acids are steroid acids found predominantly in the bile of mammals. The distinction between different bile acids is minute, depending only on the presence or absence of hydroxyl groups on positions 3, 7, and 12. Bile acids are physiological detergents that facilitate excretion, absorption, and transport of fats and sterols in the intestine and liver. Bile acids are also steroidal amphipathic molecules derived from the catabolism of cholesterol. They modulate bile flow and lipid secretion, are essential for the absorption of dietary fats and vitamins, and have been implicated in the regulation of all the key enzymes involved in cholesterol homeostasis. Bile acids recirculate through the liver, bile ducts, small intestine and portal vein to form an enterohepatic circuit. They exist as anions at physiological pH and, consequently, require a carrier for transport across the membranes of the enterohepatic tissues. The unique detergent properties of bile acids are essential for the digestion and intestinal absorption of hydrophobic nutrients. Bile acids have potent toxic properties (e.g. membrane disruption) and there are a plethora of mechanisms to limit their accumulation in blood and tissues (PMID:11316487, 16037564, 12576301, 11907135). Taurodeoxycholic acid can be found in Escherichia (PMID:30736766).",quantified,499.704,499.296758867,solid,"['bile', 'blood', 'feces', 'urine']",AWDRATDZQPNJFN-VAYUFCLWSA-N
64,HMDB0000906,trimethylamine,C3H9N,"Trimethylamine, also known as NMe3, N(CH3)3, and TMA, is a colorless, hygroscopic, and flammable simple amine with a typical fishy odor in low concentrations and an ammonia like odor in higher concentrations. Trimethylamine has a boiling point of 2.9 degree centigrade and is a gas at room temperature. Trimethylamine usually comes in pressurized gas cylinders or as a 40% solution in water. Trimethylamine is a nitrogenous base and its positively charged cation is called trimethylammonium cation. A common salt of trimethylamine is trimethylammonium chloride, a hygroscopic colorless solid. Trimethylamine is a product of decomposition of plants and animals. It is the substance mainly responsible for the fishy odor often associated with fouling fish, bacterial vagina infections, and bad breath. It is also associated with taking large doses of choline. Trimethylaminuria is a genetic disorder in which the body is unable to metabolize trimethylamine from food sources. Patients develop a characteristic fish odour of their sweat, urine, and breath after the consumption of choline-rich foods. Trimethylaminuria is an autosomal recessive disorder involving a trimethylamine oxidase deficiency. Trimethylaminuria has also been observed in a certain breed of Rhode Island Red chicken that produces eggs with a fishy smell. Trimethylamine in the urine is a biomarker for the consumption of legumes. It has also been found to be a product of various types of bacteria, such as Achromobacter, Acinetobacter, Actinobacteria, Aeromonas, Alcaligenes, Alteromonas, Anaerococcus, Bacillus, Bacteroides, Bacteroidetes, Burkholderia, Campylobacter, Citrobacter, Clostridium, Desulfitobacterium, Desulfovibrio, Desulfuromonas, Edwardsiella, Enterobacter, Enterococcus, Escherichia, Eubacterium, Firmicutes, Flavobacterium, Gammaproteobacteria, Haloanaerobacter, Klebsiella, Micrococcus, Mobiluncus, Olsenella, Photobacterium, Proteobacteria, Proteus, Providencia, Pseudomonas, Rhodopseudomonas, Ruminococcus, Salmonella, Sarcina, Serratia, Shewanella, Shigella, Sinorhizobium, Sporomusa, Staphylococcus, Stigmatella, Streptococcus, Vibrio and Yokenella (PMID:26687352; PMID:25108210; PMID:24909875; PMID:28506279; PMID:27190056). Trimethylamine is a marker for urinary tract infection brought on by E. coli. (PMID:25108210; PMID:24909875). It has also been identified as a uremic toxin according to the European Uremic Toxin Working Group (PMID:22626821).",quantified,59.1103,59.073499293,liquid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'urine']",GETQZCLCWQTVFV-UHFFFAOYSA-N
65,HMDB0000925,trimethylamine n-oxide,C3H9NO,"Trimethylamine N-oxide (TMAO) is an oxidation product of trimethylamine and a common metabolite in animals and humans. In particular, trimethylamine-N-oxide is biosynthesized endogenously from trimethylamine, which is derived from choline, which can be derived from dietary lecithin (phosphatidylcholines) or dietary carnitine. TMAO decomposes to trimethylamine (TMA), which is the main odorant that is characteristic of degrading seafood. TMAO is an osmolyte that the body will use to counteract the effects of increased concentrations of urea (due to kidney failure) and high levels can be used as a biomarker for kidney problems. It has been identified as a uremic toxin according to the European Uremic Toxin Working Group (PMID:22626821). Fish odor syndrome or trimethylaminuria is a defect in the production of the enzyme flavin containing monooxygenase 3 (FMO3) causing incomplete breakdown of trimethylamine from choline-containing food into trimethylamine oxide. Trimethylamine then builds up and is released in the person's sweat, urine, and breath, giving off a strong fishy odor. The concentration of TMAO in the blood increases after consuming foods containing carnitine or lecithin (phosphatidylcholines), if the bacteria that convert those substances to TMAO are present in the gut (PMID:23614584). High concentrations of carnitine are found in red meat, some energy drinks, and certain dietary supplements; lecithin is found in eggs and is commonly used as an ingredient in processed food. High levels of TMAO are found in many seafoods. Some types of normal gut bacteria (e.g. species of Acinetobacter) in the human gut convert dietary carnitine and dietary lecithin to TMAO (PMID:21475195). TMAO alters cholesterol metabolism in the intestines, in the liver and in arterial wall. When TMAO is present, cholesterol metabolism is altered and there is an increased deposition of cholesterol within, and decreased removal of cholesterol from, peripheral cells such as those in the artery wall (PMID:23563705). Urinary TMAO is a biomarker for the consumption of fish, especially cold-water fish. Trimethylamine N-oxide is found to be associated with maple syrup urine disease and propionic acidemia, which are inborn errors of metabolism. TMAO can also be found in Bacteroidetes, Ruminococcus (PMID:26687352).",quantified,75.1097,75.068413915,solid,"['blood', 'feces', 'saliva', 'urine']",UYPYRKYUKCHHIB-UHFFFAOYSA-N
66,HMDB0000930,trans-cinnamic acid,C9H8O2,"trans-Cinnamic acid, also known as (e)-cinnamic acid or phenylacrylic acid, belongs to the class of organic compounds known as cinnamic acids. These are organic aromatic compounds containing a benzene and a carboxylic acid group forming 3-phenylprop-2-enoic acid. trans-Cinnamic acid exists in all living species, ranging from bacteria to humans. trans-Cinnamic acid is a sweet, balsam, and cinnamon tasting compound. Outside of the human body, trans-Cinnamic acid is found, on average, in the highest concentration within a few different foods, such as chinese cinnamons, olives, and lingonberries and in a lower concentration in redcurrants, red raspberries, and corianders. trans-Cinnamic acid has also been detected, but not quantified in several different foods, such as common oregano, pepper (spice), fennels, pomegranates, and european cranberries. This could make trans-cinnamic acid a potential biomarker for the consumption of these foods. Cinnamic acid has been shown to be a microbial metabolite; it can be found in Alcaligenes, Brevibacterium, Cellulomonas, and Pseudomonas (PMID:16349793). trans-Cinnamic acid is a potentially toxic compound.",quantified,148.1586,148.0524295,solid,"['blood', 'saliva', 'urine']",WBYWAXJHAXSJNI-VOTSOKGWSA-N
67,HMDB0000954,ferulic acid,C10H10O4,"trans-Ferulic acid is a highly abundant phenolic phytochemical which is present in plant cell walls. Ferulic acid is a phenolic acid that can be absorbed by the small intestine and excreted through the urine. It is one of the most abundant phenolic acids in plants, varying from 5 g/kg in wheat bran to 9 g/kg in sugar-beet pulp and 50 g/kg in corn kernel. It occurs primarily in seeds and leaves both in its free form (albeit rarely) and covalently linked to lignin and other biopolymers. It is usually found as ester cross-links with polysaccharides in the cell wall, such as arabinoxylans in grasses, pectin in spinach and sugar beet, and xyloglucans in bamboo. It also can cross-link with proteins. Due to its phenolic nucleus and an extended side chain conjugation (carbohydrates and proteins), it readily forms a resonance-stabilized phenoxy radical which accounts for its potent antioxidant potential. Food supplementation with curcumin and ferulic acid is considered a nutritional approach to reducing oxidative damage and amyloid pathology in Alzheimer disease (PMID:17127365, 1398220, 15453708, 9878519). Ferulic acid can be found in Pseudomonas and Saccharomyces (PMID:8395165).",quantified,194.184,194.057908808,solid,"['blood', 'feces', 'urine']",KSEBMYQBYZTDHS-HWKANZROSA-N
68,HMDB0000956,tartaric acid,C4H6O6,"Tartaric acid is a white crystalline organic acid. It occurs naturally in many plants, particularly grapes and tamarinds, and is one of the main acids found in wine. It is added to other foods to give a sour taste, and is used as an antioxidant. Salts of tartaric acid are known as tartrates. It is a dihydroxy derivative of dicarboxylic acid. Tartaric acid is a muscle toxin, which works by inhibiting the production of malic acid, and in high doses causes paralysis and death. The minimum recorded fatal dose for a human is about 12 grams. In spite of that, it is included in many foods, especially sour-tasting sweets. As a food additive, tartaric acid is used as an antioxidant with E number E334, tartrates are other additives serving as antioxidants or emulsifiers. Naturally-occurring tartaric acid is chiral, meaning that it has molecules that are non-superimposable on their mirror-images. It is a useful raw material in organic chemistry for the synthesis of other chiral molecules. The naturally occurring form of the acid is L-(+)-tartaric acid or dextrotartaric acid. The mirror-image (enantiomeric) form, levotartaric acid or D-(-)-tartaric acid, and the achiral form, mesotartaric acid, can be made artificially. Tartarate is believed to play a role in inhibiting kidney stone formation. Most tartarate that is consumed by humans is metabolized by bacteria in the gastrointestinal tract -- primarily in the large instestine. Only about 15-20% of consumed tartaric acid is secreted in the urine unchanged. Tartaric acid is a biomarker for the consumption of wine and grapes (PMID:24507823). Tartaric acid is also a fungal metabolite, elevated levels in the urine (especially in children) may be due to the presence of yeast (in the gut or bladder). It can be produced by Agrobacterium, Nocardia, Rhizobium, Saccharomyces as well (PMID:7628083) (https://link.springer.com/article/10.1023/A:1005592104426). High levels of tartaric acid have been found in autistic children. In adults, tartaric acid may be due to the consumption of wine (https://www.greatplainslaboratory.com/articles-1/2015/11/13/candida-and-overgrowth-the-problem-bacteria-by-products) (PMID:15738524; PMID:24507823; PMID:7628083).",quantified,150.0868,150.016437924,solid,"['blood', 'feces', 'urine']",FEWJPZIEWOKRBE-JCYAYHJZSA-N
69,HMDB0000957,pyrocatechol,C6H6O2,"Pyrocatechol, often known as catechol or benzene-1,2-diol, is a benzenediol, with formula C6H4(OH)2. It was first prepared in 1839 by H. Reinsch by distilling catechin (the juice of Mimosa catechu). This colourless compound occurs naturally, but about 20000 tons are manufactured each year, mainly as precursors to pesticides, flavors, and fragrances. Its sulfonic acid is often present in the urine of many mammals. Small amounts of catechol occur naturally in fruits and vegetables, along with the enzyme polyphenol oxidase. Upon mixing the enzyme with the substrate and exposure to oxygen (as when a potato or apple is cut), the colorless catechol oxidizes to reddish-brown benzoquinone derivatives. The enzyme is inactivated by adding an acid, such as lemon juice, or by refrigeration. Excluding oxygen also prevents the browning reaction. Catechol melts at 28 °C and boils at 250 °C. It is employed in medicine as an expectorant. The dimethyl ether or veratrol is also used in medicine. Many other pyrocatechin derivatives have been suggested for therapeutic application. Pyrocatechol has also been found to be a microbial metabolite in Escherichia, Mycobacterium and Pseudomonas (PMID:19300498; PMID:25281236).",quantified,110.1106,110.036779436,solid,"['blood', 'feces', 'saliva', 'urine']",YCIMNLLNPGFGHC-UHFFFAOYSA-N
70,HMDB0000975,trehalose,C12H22O11,"Trehalose, also known as mycose, is a 1-alpha (disaccharide) sugar found extensively but not abundantly in nature. It is thought to be implicated in anhydrobiosis - the ability of plants and animals to withstand prolonged periods of desiccation. The sugar is thought to form a gel phase as cells dehydrate, which prevents disruption of internal cell organelles by effectively splinting them in position. Rehydration then allows normal cellular activity to be resumed without the major, generally lethal damage that would normally follow a dehydration/reyhdration cycle. Trehalose is a non-reducing sugar formed from two glucose units joined by a 1-1 alpha bond giving it the name of alpha-D-glucopyranoglucopyranosyl-1,1-alpha-D-glucopyranoside. The bonding makes trehalose very resistant to acid hydrolysis, and therefore stable in solution at high temperatures even under acidic conditions. The bonding also keeps non-reducing sugars in closed-ring form, such that the aldehyde or ketone end-groups do not bind to the lysine or arginine residues of proteins (a process called glycation). The enzyme trehalase, present but not abundant in most people, breaks it into two glucose molecules, which can then be readily absorbed in the gut. Trehalose is an important components of insects circulating fluid. It acts as a storage form of insect circulating fluid and it is important in respiration. Trehalose has also been found to be a metabolite of Burkholderia, Escherichia and Propionibacterium (PMID:12105274; PMID:25479689) (krishikosh.egranth.ac.in/bitstream/1/84382/1/88571%20P-1257.pdf).",quantified,342.2965,342.116211546,solid,"['feces', 'urine']",HDTRYLNUVZCQOY-LIZSDCNHSA-N
71,HMDB0000990,acetaldehyde,C2H4O,"Acetaldehyde, also known as ethanal, belongs to the class of organic compounds known as short-chain aldehydes. These are an aldehyde with a chain length containing between 2 and 5 carbon atoms. Acetaldehyde exists in all living species, ranging from bacteria to humans. Within humans, acetaldehyde participates in a number of enzymatic reactions. In particular, acetaldehyde can be biosynthesized from ethanol which is mediated by the enzyme alcohol dehydrogenase 1B. Acetaldehyde can also be converted to acetic acid by the enzyme aldehyde dehydrogenase (mitochondrial) and aldehyde dehydrogenase X (mitochondrial). The main method of production is the oxidation of ethylene by the Wacker process, which involves oxidation of ethylene using a homogeneous palladium/copper system: 2 CH2CH2 + O2 → 2 CH3CHO. In the 1970s, the world capacity of the Wacker-Hoechst direct oxidation process exceeded 2 million tonnes annually. In humans, acetaldehyde is involved in disulfiram action pathway. Acetaldehyde is an aldehydic, ethereal, and fruity tasting compound. Outside of the human body, acetaldehyde is found, on average, in the highest concentration in a few different foods, such as sweet oranges, pineapples, and mandarin orange (clementine, tangerine) and in a lower concentration in . acetaldehyde has also been detected, but not quantified in several different foods, such as malabar plums, malus (crab apple), rose hips, natal plums, and medlars. This could make acetaldehyde a potential biomarker for the consumption of these foods. In condensation reactions, acetaldehyde is prochiral. Acetaldehyde is formally rated as a possible carcinogen (by IARC 2B) and is also a potentially toxic compound. Acetaldehyde has been found to be associated with several diseases such as alcoholism, ulcerative colitis, nonalcoholic fatty liver disease, and crohn's disease; also acetaldehyde has been linked to the inborn metabolic disorders including aldehyde dehydrogenase deficiency (III) sulfate is used to reoxidize the mercury back to the mercury. Acetaldehyde was first observed by the Swedish pharmacist/chemist Carl Wilhelm Scheele (1774); it was then investigated by the French chemists Antoine François, comte de Fourcroy and Louis Nicolas Vauquelin (1800), and the German chemists Johann Wolfgang Döbereiner (1821, 1822, 1832) and Justus von Liebig (1835). At room temperature, acetaldehyde (CH3CHO) is more stable than vinyl alcohol (CH2CHOH) by 42.7 kJ/mol: Overall the keto-enol tautomerization occurs slowly but is catalyzed by acids. The level at which an average consumer could detect acetaldehyde is still considerably lower than any toxicity. Pathways of exposure include air, water, land, or groundwater, as well as drink and smoke. Acetaldehyde is also created by thermal degradation or ultraviolet photo-degradation of some thermoplastic polymers during or after manufacture. The water industry generally recognizes 20–40 ppb as the taste/odor threshold for acetaldehyde. The level at which an average consumer could detect acetaldehyde is still considerably lower than any toxicity.",quantified,44.0526,44.02621475,liquid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'saliva', 'sweat', 'urine']",IKHGUXGNUITLKF-UHFFFAOYSA-N
72,HMDB0001015,n-formyl-l-methionine,C6H11NO3S,"N-formyl-L-methionine is a L-methionine derivative in which one of the hydrogens attached to the nitrogen is replaced by a formyl group. It has a role as a metabolite. It is a proteinogenic amino acid, a N-formyl amino acid and a L-methionine derivative. It is a conjugate acid of a N-formyl-L-methioninate. N-Formyl-L-methionine belongs to the class of organic compounds known as methionine and derivatives. Methionine and derivatives are compounds containing methionine or a derivative thereof resulting from reaction of methionine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom. N-Formyl-L-methionine is effective in the initiation of protein synthesis. The initiating methionine residue enters the ribosome as N-formylmethionyl-tRNA. This process occurs in Escherichia coli and other bacteria as well as in the mitochondria of eukaryotic cells.",quantified,177.221,177.045963913,solid,"['feces', 'urine']",PYUSHNKNPOHWEZ-YFKPBYRVSA-N
73,HMDB0001087,5-methylthioribose,C6H12O4S,"5-Methylthioribose (CAS: 23656-67-9) belongs to the class of organic compounds known as pentoses. These are monosaccharides in which the carbohydrate moiety contains five carbon atoms. 5-Methylthioribose is an extremely weak basic (essentially neutral) compound (based on its pKa). 5-Methylthioribose exists in all living organisms, ranging from bacteria to humans. In humans, 5-methylthioribose is involved in the metabolic disorder called hypermethioninemia. Outside of the human body, 5-methylthioribose has been detected, but not quantified in, several different foods, such as alaska wild rhubarbs, common verbena, greenthread tea, pasta, and Irish moss. This could make 5-methylthioribose a potential biomarker for the consumption of these foods. 5-Methylthioribose is a metabolite of 5-methylthioribose-1-phosphate. It is a substrate of methylthioribose kinase (EC 2.7.1.100) in the methionine metabolism pathway (KEGG). It can be found in Escherichia (PMID: 4203512).",expected,180.222,180.045629562,solid,,OLVVOVIFTBSBBH-KVTDHHQDSA-N
74,HMDB0001124,trehalose 6-phosphate,C12H23O14P,"Trehalose 6-phosphate is a substrate for Hexokinase (type I) and Tryptase beta-1. Trehalose 6-phosphate has been found to be a microbial metabolite in Escherichia, Mycobacterium and Saccharomyces (UniProt).",expected,422.2764,422.082541956,solid,,LABSPYBHMPDTEL-LIZSDCNHSA-N
75,HMDB0001129,n-acetylmannosamine,C8H15NO6,"N-Acetylmannosamine, also known as beta-ManNAcc or β-ManNAc, belongs to the class of organic compounds known as acylaminosugars. These are organic compounds containing a sugar linked to a chain through N-acyl group. Within humans, N-acetylmannosamine participates in a number of enzymatic reactions. In particular, N-acetylmannosamine can be biosynthesized from N-acetyl-D-glucosamine, which is catalyzed by the enzyme N-acylglucosamine 2-epimerase. In addition, N-acetylmannosamine and uridine 5'-diphosphate can be biosynthesized from uridine diphosphate-N-acetylglucosamine; which is mediated by the enzyme bifunctional UDP-N-acetyl glucosamine 2-epimerase / N-acetylmannosamine kinase. In humans, N-acetylmannosamine is involved in the metabolic disorder called the salla disease/infantile sialic acid storage disease pathway. In the rate-limiting step of the pathway, UDP-GlcNAc is converted into ManNAc by UDP-GlcNAc 2-epimerase, encoded by the epimerase domain of GNE. Improved sialylation after the addition of ManNAc and other supporting ingredients to the culture medium not only increases manufacturing yield, but also improves therapeutic efficacy by increasing solubility, increasing half-life and reducing immunogenicity by reducing the formation of antibodies to the therapeutic glycoprotein When the GNE epimerase kinase does not function correctly in the human body thereby reducing the available ManNAc, it is reasonable to assume that treatment with ManNAc could assist with improving health benefits. There is no available therapy to treat GNE myopathy. ManNAc is the first committed biological precursor of N-acetylneuraminic acid (Neu5Ac, sialic acid).",detected,221.2078,221.089937217,solid,"['feces', 'urine']",OVRNDRQMDRJTHS-OZRXBMAMSA-N
76,HMDB0001180,n2-succinyl-l-glutamic acid 5-semialdehyde,C9H13NO6,N2-Succinyl-L-glutamic acid 5-semialdehyde is a substrate for Succinate semialdehyde dehydrogenase (mitochondrial) and Ornithine aminotransferase (mitochondrial). It can be found in Escherichia (UniProt).,expected,231.2026,231.074287153,solid,,XTOKIEIBKARFSZ-LURJTMIESA-N
77,HMDB0001199,n2-succinyl-l-ornithine,C9H16N2O5,N2-Succinyl-L-ornithine is a substrate for Ornithine aminotransferase (mitochondrial). It can be found in Escherichia (UniProt).,expected,232.2337,232.105921632,solid,,VWXQFHJBQHTHMK-LURJTMIESA-N
78,HMDB0001213,1-deoxy-d-xylulose 5-phosphate,C5H11O7P,"1-Deoxy-D-xylulose 5-phosphate is a substrate for 2,4-dienoyl-CoA reductase (mitochondrial). It has been found to be a metabolite of Escherichia and Streptomyces (PMID: 10648511; PMID: 9371765).",expected,214.1104,214.024239218,solid,,AJPADPZSRRUGHI-RFZPGFLSSA-N
79,HMDB0001266,l-sorbose,C6H12O6,"L-Sorbose, also known as L-sorbinose or L-xylo-hexulose, belongs to the class of organic compounds known as monosaccharides. Monosaccharides are compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn. L-Sorbose exists in all living species, ranging from bacteria to humans. The commercial production of vitamin C (ascorbic acid) often begins with sorbose. L-Sorbose (CAS: 87-79-6) is a ketose belonging to the group of sugars known as monosaccharides. Sorbose has been found to be a metabolite of Ketogulonicigenium (PMID:15785002).",quantified,180.1559,180.063388116,solid,"['feces', 'sweat', 'urine']",LKDRXBCSQODPBY-BGPJRJDNSA-N
80,HMDB0001310,d-alanine,C3H7NO2,"Alanine is a nonessential amino acid made in the body from the conversion of the carbohydrate pyruvate or the breakdown of DNA and the dipeptides carnosine and anserine. It is highly concentrated in muscle and is one of the most important amino acids released by muscle, functioning as a major energy source. Plasma alanine is often decreased when the BCAA (Branched Chain Amino Acids) are deficient. This finding may relate to muscle metabolism. Alanine is highly concentrated in meat products and other high-protein foods like wheat germ and cottage cheese. Alanine is an important participant as well as regulator in glucose metabolism. Alanine levels parallel blood sugar levels in both diabetes and hypoglycemia, and alanine reduces both severe hypoglycemia and the ketosis of diabetes. It is an important amino acid for lymphocyte reproduction and immunity. Alanine therapy has helped dissolve kidney stones in experimental animals. Normal alanine metabolism, like that of other amino acids, is highly dependent upon enzymes that contain vitamin B6. Alanine, like GABA, taurine and glycine, is an inhibitory neurotransmitter in the brain. Alanine can be found in some Gram-positive bacteria (PMID:24752840).",quantified,89.0932,89.047678473,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'urine']",QNAYBMKLOCPYGJ-UWTATZPHSA-N
81,HMDB0001311,d-lactic acid,C3H6O3,"Lactic acid is an organic acid. It is a chiral molecule, consisting of two optical isomers, L-lactic acid and D-lactic acid, with the L-isomer being the most common in living organisms. Lactic acid plays a role in several biochemical processes and is produced in the muscles during intense activity. D-Lactic acid is the end product of the enzyme glyoxalase II (or hydroxyacyl-glutathione hydrolase) (EC 3.1.2.6), which converts the intermediate substrate S-lactoyl-glutathione to reduced glutathione and D-lactate (OMIM: 138790). Lactic acid is a microbial metabolite found in Aerococcus, Bacillus, Carnobacterium, Corynebacterium, Enterococcus, Escherichia, Lactobacillus, Lactococcus, Leuconostoc, Oenococcus, Pediococcus, Rhizopus, Saccharomyces, Streptococcus, Tetragenococcus, Vagococcus and Weissella (PMID:26287368; PMID:26360870).",quantified,90.0779,90.031694058,solid,"['blood', 'cerebrospinal fluid (csf)', 'urine']",JVTAAEKCZFNVCJ-UWTATZPHSA-N
82,HMDB0001336,"3,4-dihydroxybenzeneacetic acid",C8H8O4,"3,4-Dihydroxyphenylacetic acid (DOPAC) is a phenolic acid. DOPAC is a neuronal metabolite of dopamine (DA). DA undergoes monoamine oxidase-catalyzed oxidative deamination to 3,4-dihydroxyphenylacetaldehyde (DOPAL), which is metabolized primarily into DOPAC via aldehyde dehydrogenase (ALDH2). The biotransformation of DOPAL is critical as previous studies have demonstrated this DA-derived aldehyde to be a reactive electrophile and toxic to dopaminergic cells. Known inhibitors of mitochondrial ALDH2, such as 4-hydroxy-2-nonenal (4HNE) inhibit ALDH2-mediated oxidation of the endogenous neurotoxin DOPAL. 4HNE is one of the resulting products of oxidative stress, thus linking oxidative stress to the uncontrolled production of an endogenous neurotoxin relevant to Parkinson's disease. In early-onset Parkinson disease, there is markedly reduced activities of both monoamine oxidase (MAO) A and B. The amount of DOPAC, which is produced during dopamine oxidation by MAO, is greatly reduced as a result of increased parkin overexpression. Administration of methamphetamine to animals causes loss of DA terminals in the brain and significant decreases in dopamine and dihydroxyphenylacetic acid (DOPAC) in the striatum. Renal dopamine produced in the residual tubular units may be enhanced during a sodium challenge, thus behaving appropriately as a compensatory natriuretic hormone; however, the renal dopaminergic system in patients afflicted with renal parenchymal disorders should address parameters other than free urinary dopamine, namely the urinary excretion of L-DOPA and metabolites. DOPAC is one of the major phenolic acids formed during human microbial fermentation of tea, citrus, and soy flavonoid supplements. DOPAC exhibits a considerable antiproliferative effect in LNCaP prostate cancer and HCT116 colon cancer cells. The antiproliferative activity of DOPAC may be due to its catechol structure. A similar association of the catechol moiety in the B-ring with antiproliferative activity was demonstrated for flavanones (PMID:16956664, 16455660, 8561959, 11369822, 10443478, 16365058). DOPAC can be found in Gram-positive bacteria (PMID:24752840).",quantified,168.1467,168.042258744,solid,"['blood', 'cerebrospinal fluid (csf)', 'feces', 'urine']",CFFZDZCDUFSOFZ-UHFFFAOYSA-N
